"","(Intercept)","total_co2","pre_urea","phosphate","calcium","albumin","pre_creatinine"
"r2_056",7.28617498538347,-0.310861108691791,0,0,0,0,0
"r2_066",4.88353709066921,-0.26648547396617,0.0615405006086824,0,0,0,0
"r2_067",4.24215615847727,-0.255123741430294,0.0537966239765376,0.298204377694697,0,0,0
"r2_067",4.69195362283028,-0.253180122210585,0.0543421738049899,0.284570663552208,-0.21249991772208,0,0
"r2_068",4.55366377503795,-0.252492606591606,0.0534712883156965,0.283588997323627,-0.264902027169111,0.00759426712930486,0
"r2_068",4.53680413174982,-0.253094174824662,0.0529819396723881,0.293193980766679,-0.239341987878197,0.00589164271591529,1.81202666108902e-05
