"","(Intercept)","pre_creatinine","albumin","pre_urea","phosphate","total_co2","calcium"
"r2_076",0.0259604654312695,3.51454759726135e-05,0,0,0,0,0
"r2_083",0.0562318169559959,3.01623424454562e-05,0.00159916410293652,0,0,0,0
"r2_087",0.0494059370371201,2.85211704027233e-05,0.00140443308229623,0.000986270531589095,0,0,0
"r2_088",0.0500474745569945,2.81947214862544e-05,0.00137295804154967,0.00101049109291872,0.0113972158057947,0,0
"r2_088",0.0753612075533181,2.79530414206537e-05,0.00135928811788142,0.00103043870104554,0.0115003192482209,0.00208051652576711,0
"r2_089",0.0921251742731327,2.76267881073422e-05,0.00138887597609225,0.00101639344736442,0.0114684115526431,0.00206640353231432,0.0313497216031864
