"","(Intercept)","total_co2","phosphate","pre_urea","calcium","pre_creatinine","albumin"
"r2_006",0.0703237580730609,0.00294580139616378,0,0,0,0,0
"r2_008",0.0836755967009974,0.00303928237360961,0.0160788371566182,0,0,0,0
"r2_013",0.0906991203758566,0.00307095390664327,0.0165497322994437,0.0012965256607346,0,0,0
"r2_013",0.127845187436569,0.00309152573405623,0.0165367552817623,0.00130003282838053,0.0444666730859035,0,0
"r2_012",0.132791937970294,0.00322651036332656,0.0175432877386805,0.00145519029943662,0.0463513702297428,3.88926951807751e-05,0
"r2_013",0.142728162942346,0.00325482578174232,0.0176934107373959,0.00147032017816283,0.0474265710815794,3.99754614760022e-05,0.0021124024249206
