"","x"
"sodium",0.23927
"potassium",1.03503
"pre urea",-0.00479
"chloride",-0.71412
"calcium",0.68768
"total co2",0.24551
"phosphate",1.05167
"hemoglobin",1.17842
"wbc",-0.27446
"pre creatinine",2.7887
"platelets",0.08454
"albumin",1.37456
"magnesium",1.19423
"glucose r",-0.21108
