"","(Intercept)","pre_urea","total_co2","pre_creatinine","calcium","albumin","phosphate"
"r2_061",-1.26604696508899,0.0557109629785537,0,0,0,0,0
"r2_078",-3.2432169673729,0.0653607348157272,0.0742750113238102,0,0,0,0
"r2_083",-3.07477292544558,0.0741615509067008,0.0753138306489067,-0.000505625128829744,0,0,0
"r2_083",-3.46243210810326,0.0740354253101875,0.0735157108423184,-0.00051671976495026,0.195508003408698,0,0
"r2_083",-3.31533357860474,0.0743395772089868,0.0735486958335391,-0.000496188969844694,0.22524940790849,-0.00688674131712671,0
"r2_084",-3.23566771256369,0.0749247969616205,0.0725126834406968,-0.000483046241710329,0.219952731110608,-0.00710358856873685,-0.0337250074824835
