"","(Intercept)","pre_urea","phosphate","calcium","pre_creatinine","total_co2","albumin"
"r2_009",0.0296227475531127,0.00123044698226002,0,0,0,0,0
"r2_012",0.035126231288395,0.0013139986281642,0.0172000916342121,0,0,0,0
"r2_016",0.107347197396117,0.00128510631996583,0.0168030705690874,0.0451525272437525,0,0,0
"r2_018",0.111141020475975,0.00144120509149417,0.0177775921384113,0.0469754109058885,3.97932357874045e-05,0,0
"r2_020",0.135278514089281,0.00148243925372156,0.0178717920214426,0.047219316070863,3.962097468718e-05,0.00328692791381751,0
"r2_022",0.143461323408169,0.00147787286156117,0.0177842975602261,0.047670190043876,4.01808058688186e-05,0.00327154504398964,0.00212325333138455
