"","(Intercept)","phosphate","albumin","total_co2","calcium","pre_urea","pre_creatinine"
"r2_016",1.55207858056636,-0.928212850208934,0,0,0,0,0
"r2_017",2.41999995431208,-0.921720908581041,-0.0254977600378604,0,0,0,0
"r2_018",3.86245211347502,-0.995703941474923,-0.0259813132836944,-0.0547609423514681,0,0,0
"r2_019",3.03774563248474,-0.987235564136572,-0.0301832064929219,-0.0578405571852851,0.454938029712472,0,0
"r2_019",2.73311565842594,-1.04435160192189,-0.0330754574964302,-0.0493083360311364,0.432478683743781,0.0155145143142075,0
"r2_019",2.81267294128005,-1.05639963596001,-0.0381560230312772,-0.0495576230126889,0.444624659432325,0.0120163145354254,0.000210263256999811
