"","(Intercept)","phosphate","total_co2","albumin","pre_urea","pre_creatinine","calcium"
"r2_039",0.0293773852620741,0.0160335937904592,0,0,0,0,0
"r2_046",0.0830105590190431,0.0158083004910449,0.00299156269351401,0,0,0,0
"r2_049",0.104626941534801,0.0156096822855077,0.00295852273020275,0.00187036128474887,0,0,0
"r2_052",0.105485211788887,0.0158560007830195,0.00295724445103144,0.00183448235362532,0.00129189487558413,0,0
"r2_052",0.110873500106496,0.0167491243283894,0.0030869625654306,0.00199299005970568,0.00144344260199308,3.82543297613248e-05,0
"r2_052",0.136817522842526,0.0167790419207154,0.0031092587667203,0.00203266947506423,0.0014437028062445,3.83043554675875e-05,0.0456084590476548
