"","bw","fat","lean","fluid","glucose","lactate"
"bw",0.00659740040464438,0.00365504888544389,0.00393228663649046,0.0025318424417702,0.000574424374940054,0.00060936969910348
"fat",0.00365504888544387,0.00679531019564952,0.00296897655048885,0.00351008582786395,0.000595669628505681,0.000610582184104645
"lean",0.00393228663649046,0.00296897655048885,0.00751594833597275,0.00405040037907464,0.000531424659372951,0.000662503452859925
"fluid",0.0025318424417702,0.00351008582786395,0.00405040037907464,0.00703508724076046,0.000555071455543525,0.000619480425825932
"glucose",0.000574424374940053,0.000595669628505682,0.000531424659372951,0.000555071455543525,0.00281557501407742,0.00439132662275595
"lactate",0.00060936969910348,0.000610582184104645,0.000662503452859925,0.000619480425825933,0.00439132662275595,0.00490577490133117
