"","MMSE","BVRT","IST","CESD"
"MMSE",0.0140663417679671,0.00801530215239973,0.0085844651470484,0.0071814442879443
"BVRT",0.00801530215239973,0.00922199717010059,0.0070163809888209,0.00706309811607164
"IST",0.0085844651470484,0.0070163809888209,0.00771053371468725,0.0056160287877315
"CESD",0.0071814442879443,0.00706309811607164,0.0056160287877315,0.00939140208180187
