"","mu0","age","male","CEP"
"MMSE",0.659563621591054,0.00755398509530892,0.194409363505634,0.195744892338101
"BVRT",0.67514057760701,0.0071051532843875,0.158122536149348,0.181087550184753
"IST",0.696439402405203,0.00733012793793382,0.180600042408314,0.176197441626921
"CESD",0.473841344935985,0.00499507117957665,0.107186907018402,0.133660017623091
