"","bw","fat","lean","fluid","glucose","lactate"
"bw",0.145574864106571,0.139307454146032,0.147955954722931,0.144822691813918,0.079811617130398,0.0563871239334346
"fat",0.139307454146032,0.140489206989276,0.144450955943001,0.142086013928727,0.0802388889101338,0.056324963942353
"lean",0.147955954722931,0.144450955943001,0.152133873355163,0.148324849582328,0.082685474659307,0.0585957673565691
"fluid",0.144822691813918,0.142086013928727,0.148324849582328,0.156309129609807,0.0828329353724845,0.0591452974758454
"glucose",0.079811617130398,0.0802388889101338,0.082685474659307,0.0828329353724845,0.0231076055003222,0.0161623419510602
"lactate",0.0563871239334346,0.056324963942353,0.0585957673565691,0.0591452974758454,0.0161623419510602,0.0192899568888662
