"","bw","fat","lean","fluid","glucose","lactate"
"bw",-0.0396994838284265,0.0126285378425678,-0.00398725233591514,0.00794769816021904,0.00154004363866147,-0.0011924526294008
"fat",0.0126285378425678,-0.033123237028461,0.00357167291557736,-0.00656557528517082,0.0018141754124871,-0.00130404759117688
"lean",-0.00398725233591514,0.00357167291557737,-0.0281437638958595,0.00520214956258359,0.00178608372451019,-0.00202933118652827
"fluid",0.00794769816021904,-0.00656557528517082,0.00520214956258359,-0.0300580119760427,0.00172240806583443,-0.00135244807118325
"glucose",0.00154004363866147,0.0018141754124871,0.00178608372451019,0.00172240806583443,-0.0501088987313694,0.000832389821899709
"lactate",-0.0011924526294008,-0.00130404759117688,-0.00202933118652827,-0.00135244807118325,0.000832389821899709,-0.0557570674307377
