"","mu0","age","sex"
"bw",0.684323720930357,0.0106312981440511,0.233696818851771
"fat",0.714177819072562,0.0110617171754322,0.233789573449702
"lean",0.749956111633436,0.0116922022454084,0.229944685650349
"fluid",0.759174617788956,0.0117982000189495,0.248009204608811
"glucose",0.184838169530668,0.00268618199886005,0.0779731612303451
"lactate",0.0923407138018378,0.00152447619745425,0.0621564747847204
