"","bw","fat","lean","fluid","glucose","lactate"
"bw",-0.0576177961072069,0.00877228964686832,0.00482150182301021,0.00321062813588857,0.00153300838076473,-3.46539453645047e-06
"fat",0.00877228964686832,-0.046451190643126,-0.00448844477291939,0.0022740811158977,0.00177908247052435,0.000434519245192483
"lean",0.00482150182301021,-0.00448844477291939,-0.056849219614716,0.016242306326697,0.00129513778392301,-0.000384988702246487
"fluid",0.00321062813588857,0.0022740811158977,0.016242306326697,-0.0614960169733723,0.00181079562872491,-8.20937596684761e-05
"glucose",0.00153300838076473,0.00177908247052435,0.00129513778392301,0.00181079562872491,-0.0616425735520464,0.00260529765457754
"lactate",-3.46539453645049e-06,0.000434519245192483,-0.000384988702246487,-8.2093759668476e-05,0.00260529765457754,-0.0630387745993898
