"","bw","fat","lean","fluid","glucose","lactate"
"bw",0.774279631821676,0.409658519188977,0.571416142451459,0.52336152698916,0.128196894028254,0.0372720641678448
"fat",0.409658519188977,0.621118399287011,0.490455647886489,0.532436807612773,0.128105451647847,0.0862094015601002
"lean",0.571416142451459,0.490455647886489,0.813798553907344,0.75918354654071,0.241968410253246,0.107949651175173
"fluid",0.52336152698916,0.532436807612773,0.75918354654071,0.806465046664962,0.23891515492944,0.114493390618853
"glucose",0.128196894028254,0.128105451647847,0.241968410253246,0.23891515492944,0.990505423677309,0.156813531199445
"lactate",0.0372720641678448,0.0862094015601002,0.107949651175173,0.114493390618853,0.156813531199445,1.00961733818875
