"","bw","fat","lean","fluid","glucose","lactate"
"bw",0.708533450415976,0.615065560753331,0.649689460808226,0.605606399404898,0.172124673594079,0.0190176664445042
"fat",0.615065560753331,0.655134408614546,0.616114633212896,0.59512475521063,0.224377877541862,0.0203323183312236
"lean",0.649689460808226,0.616114633212896,0.728321692187923,0.682696019179035,0.236555427998747,0.0441165866598767
"fluid",0.605606399404898,0.59512475521063,0.682696019179035,0.692785367835267,0.242444322737564,0.0387053050904205
"glucose",0.172124673594079,0.224377877541862,0.236555427998747,0.242444322737564,0.987486690792867,0.0452307266452814
"lactate",0.0190176664445042,0.0203323183312236,0.0441165866598767,0.0387053050904205,0.0452307266452814,0.983977593199383
