"","mu0","age","sex"
"bw",0.816812270710437,0.0117476738905955,0.202642223279263
"fat",0.98694216236381,0.0156027317251191,0.320305900901034
"lean",0.819910181267696,0.0116903505603375,0.201144736302622
"fluid",1.0894606186442,0.0174709518265759,0.39720753585141
"glucose",0.184447913161511,0.00254018034345799,0.0794584363700723
"lactate",0.152255017439236,0.00224616560679989,0.0627971340120373
