"","bw","fat","lean","fluid","glucose","lactate"
"bw",0.0387464845201845,0.0370405477997936,0.0393507213961842,0.0385304233028314,0.0211289506212472,0.0148741657062447
"fat",0.0370405477997936,0.0374637153397565,0.0384110149163135,0.0377849975243325,0.0212384421214544,0.0148517380256873
"lean",0.0393507213961842,0.0384110149163135,0.0405305884895201,0.0394965839650238,0.0218928972085486,0.0154566036224135
"fluid",0.0385304233028314,0.0377849975243325,0.0394965839650238,0.0416625439289988,0.0219375909948973,0.0155937430025319
"glucose",0.0211289506212472,0.0212384421214544,0.0218928972085486,0.0219375909948973,0.0060387993565626,0.00424174911093593
"lactate",0.0148741657062447,0.0148517380256873,0.0154566036224135,0.0155937430025319,0.00424174911093593,0.00505104746810782
